그룹,품목명,산지대분류,산지중분류,산지품목명,산지대응,산지근거,부류코드,부류명,품목코드,품목명_perDay,품종코드,품종명,소매대응,근거,검수
A,콩,03,01,콩,사람판정,두류 산지 30 · 도매 126건. GMO(98/01)·LMO(99/01)는 0건,100,,141,콩,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,느타리버섯,17,01,느타리버섯,확정,코드표에 같은 이름이 하나뿐이다,300,,315,느타리버섯,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,망고,06,36,망고,확정,코드표에 같은 이름이 하나뿐이다,400,,428,망고,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,미나리,10,09,미나리,확정,코드표에 같은 이름이 하나뿐이다,200,,252,미나리,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,오렌지,06,18,오렌지,확정,코드표에 같은 이름이 하나뿐이다,400,,421,오렌지,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,자몽,06,19,자몽,확정,코드표에 같은 이름이 하나뿐이다,400,,423,자몽,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,케일,13,07,케일,확정,코드표에 같은 이름이 하나뿐이다,200,,264,케일,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,갓,10,13,갓,확정,코드표에 같은 이름이 하나뿐이다,200,,216,갓,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,블루베리,06,59,블루베리,확정,코드표에 같은 이름이 하나뿐이다,400,,429,블루베리,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,우엉,11,04,우엉,확정,코드표에 같은 이름이 하나뿐이다,200,,218,우엉,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,콩나물,10,16,콩나물,사람판정,엽경채류 산지 64 · 도매 3건. GMO(98/06)는 0건,200,,265,콩나물,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
