대분류코드,중분류코드,중분류명
15,22,벼종자
15,23,겉보리종자
15,24,맥주보리종자
15,25,밀종자
15,26,콩종자
15,27,옥수수종자
15,28,봄감자종자
15,29,팥종자
15,30,땅콩종자
15,31,참깨종자
15,32,들깨종자
15,33,녹두종자
15,34,가을감자종자
15,35,청보리종자
15,36,호밀종자
15,37,귀리종자
15,38,강낭콩종자
15,39,기장종자
15,40,동부종자
15,41,메밀종자
15,42,보리종자
15,43,수수종자
15,44,아마종자
15,45,완두종자
15,46,잠두종자
15,47,조종자
15,48,갓종자
15,49,근대종자
15,50,아스파라거스종자
15,51,유채종자
15,52,캐놀라종자
15,53,쌀보리종자
15,54,고구마종자
15,55,생강종자
15,56,다채종자
15,57,겨자종자
15,99,기타
16,00,특용작물류(일반)
16,01,참깨
16,02,들깨
16,03,땅콩
16,04,해바라기
16,05,피마자
16,06,유채
16,07,고추씨
16,08,목화씨
16,09,코푸라
16,10,호박씨
16,11,면화
16,12,모시
16,13,왕골
16,14,인초
16,15,수세미
16,16,아주까리
16,17,녹비
16,18,닥나무
16,19,담배
16,20,생사
16,21,견사
16,22,견웨이스트
16,23,누에씨
16,24,누에고치
16,25,누에고치웨이스트
16,26,누에커트
16,27,초피
16,28,차류
16,29,사탕수수
16,30,사탕무
16,31,해바라기씨
16,32,커피류
16,33,채소묘
16,34,레몬머틀
16,35,사차인치
16,36,백운풀
16,99,기타
17,00,버섯류(일반)
17,01,느타리버섯
17,02,양송이
17,03,사용불가
17,04,표고버섯
17,05,팽이버섯
17,06,만가닥
17,07,목이
17,08,석이
17,09,영지버섯
17,10,잎새
17,11,새송이
17,12,광대버섯
17,13,싸리버섯
17,14,운지(구름버섯)
17,15,잔나비걸상
17,16,아카시아버섯
17,17,버섯종균(표고)
17,18,애느타리버섯
17,19,상황버섯
17,20,동충하초
17,21,능이버섯
17,22,자연산송이
17,23,꽃버섯
17,24,노루궁뎅이버섯
17,25,전복버섯
17,26,송화버섯
17,32,망태버섯
17,33,잔나비버섯
17,99,기타
18,00,인삼류(일반)
18,01,수삼
18,02,백삼
18,03,피부백삼
18,04,홍삼
18,05,태극삼
18,06,묘삼
18,07,씨앗
18,08,새싹
18,09,열매
18,99,기타
19,00,약용작물류(일반)
19,01,강활
19,02,길경
19,03,참당귀
19,04,만삼
19,05,맥문동
19,06,반하
19,07,방풍
19,08,백지
19,09,창출
19,10,백출
19,11,사삼
19,12,시호
19,13,목단
19,14,작약
19,15,지황
19,16,지모
19,17,천궁
19,18,천마
19,19,장뇌
19,20,택사
19,21,하수오
19,22,부자
19,23,황금
19,24,황기
19,25,갈근
19,26,용담
19,27,결명자
19,28,구기자
19,29,산수유
19,30,오미자
19,31,치자
19,32,의이인
19,33,복분자
19,34,두충
19,35,오가피
19,36,소엽(차조기)
19,37,애엽
19,38,구절초
19,39,박하
19,40,음양곽
19,41,익모초
19,42,대왕초
19,43,인동
19,44,형개
19,45,오배자
19,46,계피
19,47,삼지구엽초
19,48,옻
19,49,홍화씨
19,50,칡
19,51,독활
19,52,삼백초
19,53,차전자
19,54,어성초
19,55,행인
19,56,진피
19,57,향부자
19,58,동충하초
19,59,건강
19,60,고본
19,61,고삼
19,62,천남성
19,63,대조
19,64,대황
19,65,도인
19,66,맥아
19,67,목단피
19,68,모과
19,69,목향
19,70,백두옹
19,71,보골지(파고지)
19,72,비자
19,73,사상자
19,74,산사자
19,75,산약
19,76,산조인
19,77,산초
19,78,석창포
19,79,세신
19,80,회향
19,81,속단
19,82,신이
19,83,승마
19,84,오매
19,85,감국
19,86,오약
19,87,원지
19,88,연교
19,89,연자
19,90,우방자
19,91,우슬
19,92,위령선
19,93,전호
19,94,정향
19,95,노회
19,96,지실(탱자)
19,97,차전자
19,98,노실
19,99,과루인(하늘타리)
19,A0,패모
19,A1,포공영
19,A2,포황
19,A3,하고초
19,A4,행인
19,A5,향부자
19,A6,현삼
19,A7,현호색
19,A8,홍화(잇꽃)
19,A9,황련
19,B0,황백
19,B1,후박
19,B2,가자
19,B3,감수
19,B4,감초
19,B5,강황
19,B6,검실
19,B7,견우자
19,B8,계관화
19,B9,계지
19,C0,계혈등
19,C1,고량강
19,C2,고련피
19,C3,궐채
19,C4,골쇄보
19,C5,백창
19,C6,곽향
19,C7,관동화
19,C8,관중
19,C9,괴화
19,D0,교맥
19,D1,구맥
19,D2,구약
19,D3,구자
19,D4,국거
19,D5,권백
19,D6,귀전우
19,D7,금낭화
19,D8,금앵자
19,D9,금작근
19,E0,연전초
19,E1,내복자
19,E2,노근
19,E3,누로
19,E4,능소화
19,E5,목천료
19,E6,단삼
19,E7,단향
19,E8,대극
19,E9,대복피
19,F0,대산
19,F1,동과자
19,F2,총목피
19,F3,마도령
19,F4,삼
19,F5,마치현
19,F6,마편초
19,F7,마황
19,F8,만형자
19,F9,매괴화
19,G0,목근피
19,G1,목적
19,G2,목통
19,G3,무화과
19,G4,밀몽화
19,G5,방기
19,G6,백개자
19,G7,백과
19,G8,백급
19,G9,백두구
19,H0,백렴
19,H1,백모근
19,H2,백미
19,H3,복령
19,H4,백부근
19,H5,백선피
19,H6,백자인
19,H7,백전
19,H8,백질려
19,H9,편두
19,I0,백합
19,I1,번백초
19,I2,사간
19,I3,봉선
19,I4,부소맥
19,I5,부용
19,I6,부평
19,I7,비파엽
19,I8,빈랑
19,I9,사과
19,J0,사군자
19,J1,사인
