부류코드,품목코드,품종코드,품종명
600,611,06,국산(냉동)
600,611,07,수입산(냉동)
600,611,08,수입산(염장)
600,612,01,냉동(수입)
600,613,01,생선
600,613,02,냉동
600,613,03,국산(냉장)
600,613,04,국산(냉동)
600,613,05,수입산(냉동)
600,614,01,생선
600,614,04,참조기(냉동)
600,614,05,참조기(신선 냉장)
600,614,06,참조기(냉동)
600,614,07,굴비
600,615,01,생선
600,615,02,냉동
600,615,03,원양산(냉동)
600,615,04,냉동(원양수입통합)
600,615,05,냉동가공
600,616,01,냉장
600,616,02,냉동
600,616,03,생물
600,619,01,생선
600,619,02,냉동
600,619,03,연근해(신선 냉장)
600,619,04,연근해(냉동)
600,619,05,원양(냉동)
600,638,00,마른멸치
600,639,01,황태
600,639,02,먹태
600,640,00,마른오징어
600,641,00,마른김
600,641,01,얼구운김
600,642,00,마른미역
600,643,00,염장미역
600,644,00,굴
600,647,00,넙치활어
600,648,00,우럭
600,649,01,부세수입(생선)
600,649,04,부세수입(냉동)
600,650,00,새우젓
600,651,00,멸치액젓
600,652,00,천일염
600,653,00,전복
600,654,01,흰다리(수입)
600,656,00,냉동
600,656,01,냉장
600,656,02,암꽃게(냉동)
600,656,03,수꽃게(냉동)
600,656,04,암꽃게(냉장)
600,656,05,수꽃게(냉장)
600,658,01,깐홍합(냉장)
600,658,02,안깐홍합(냉장)
600,659,01,해만가리비(홍가리비)
600,660,01,완도산
600,661,00,바지락
600,662,00,수입
600,662,01,국산
600,663,01,냉장
